spider,date_collected,time_collected,treatment1,treatment2,tub,container,date_added,temperature_F,sky,location,noise_location,last_fed,mass_g,mass_mg,sex,adult,molt1,molt2,molt3,molt4,lastmolt,released,died_yn,died,eggs_yn,eggs,eggs_2,longitude,latitude,visible,mapped,web_photo,spider_photo,vibr_sec,web_height_cm,sub_height_cm,place,collection_mass_mg,substrate,Notes,line_date1,silk_date1,line_mass1,silkline_mass1,silk_mass1,tb1date,tb_1,tb2date,tb_2,tb3date,tb_3,tb4date,tb_4,tb5date,tb_5,tb6date,tb_6,tb7date,tb_7,tb8date,tb_8,tb9date,tb_9,tb10date,tb_10,tb11date,tb_11,tb12date,tb_12,prey1date,prey_1,prey2date,prey_2,prey3date,prey_3,prey4date,prey_4,prey5date,prey_5,prey6date,prey_6,prey7date,prey_7,prey8date,prey_8,prey9date,prey_9,prey10date,prey_10,prey11date,prey_11,prey12date,prey_12,line_date_before,silk_date_before,line_mass_before,silkline_mass_before,silk_mass_before,line_date_bs,silk_date_bs,line_mass_bs,silkline_mass_bs,silk_mass_bs,line_date_as,silk_date_as,line_mass_as,silkline_mass_as,silk_mass_as,line_date_original,silk_date_original,line_mass_original,silkline_mass_original,silk_mass_original
AP070,7/6/21,07:23,silent,silent,27,9,7/25/21,70,sunny,campus,city,9/2/21,0.0758,75.8,M,TRUE,8/6/21,8/28/21,,,8/28/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,3,8,47,outside,24.8,Japanese meadowsweet,,9/5/21,9/8/21,15.33,19.68,4.35,9/5/21,0.63,9/8/21,2.34,9/12/21,4.91,9/15/21,4.78,9/19/21,1.46,9/22/21,11.47,9/26/21,1.75,9/29/21,30,10/3/21,29.72,10/6/21,30,10/10/21,3.56,10/13/21,30,9/6/21,13.31,9/9/21,1.13,9/13/21,8.16,9/16/21,3.57,9/20/21,5.16,9/23/21,10.68,9/27/21,1.16,9/30/21,1.21,10/4/21,5.85,10/7/21,2.43,10/11/21,0.78,10/14/21,3.56,9/5/21,9/8/21,15.33,19.68,4.35,9/24/21,9/29/21,15.369,18.794,3.4250,10/15/21,10/20/21,15.152,20.846,5.694,11/10/21,11/14/21,15.435,16.402,0.967
AP071,7/6/21,07:26,quiet,quiet,8,1,7/25/21,71,sunny,campus,city,9/2/21,0.1223,122.3,F,FALSE,7/15/21,8/19/21,,,8/19/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,20,25,outside,41.6,"Dirt, leaf litter",,9/4/21,9/7/21,15.08,19.97,4.89,9/4/21,1.15,9/7/21,1,9/11/21,0.78,9/14/21,1,9/18/21,0.62,9/21/21,1.06,9/25/21,0.53,9/28/21,0.41,10/2/21,0.44,10/5/21,0.84,10/9/21,2,10/12/21,7.04,9/5/21,30,9/8/21,0.91,9/12/21,12.78,9/15/21,6.32,9/19/21,5.97,9/22/21,0.94,9/26/21,22.5,9/29/21,0.6,10/3/21,1.28,10/6/21,16.6,10/10/21,0.6,10/13/21,0.65,9/4/21,9/7/21,15.08,19.97,4.89,9/24/21,9/28/21,15.124,18.698,3.5740,10/15/21,10/19/21,14.603,17.365,2.762,11/10/21,11/14/21,15.339,16.758,1.419
AP072,7/6/21,07:32,,,,,,71,sunny,campus,city,9/2/21,0.1404,140.4,F,FALSE,7/11/21,7/23/21,8/16/21,9/6/21,9/6/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,2,8,12,outside,10.9,Twigs,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP073,7/6/21,07:36,silent,silent,12,2,7/25/21,71,sunny,campus,city,9/2/21,0.0632,63.2,M,TRUE,7/15/21,8/6/21,8/31/21,,8/31/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,2,6,7,outside,6.6,"Twigs, leaf litter",,9/4/21,9/7/21,14.53,20.16,5.63,9/4/21,0.9,9/7/21,0.59,9/11/21,0.78,9/14/21,1.53,9/18/21,11.56,9/21/21,5.56,9/25/21,6.18,9/28/21,7.34,10/2/21,30,10/5/21,21.1,10/9/21,3.59,10/12/21,19.78,9/5/21,1.41,9/8/21,1.65,9/12/21,7.09,9/15/21,1.47,9/19/21,2.09,9/22/21,4.03,9/26/21,30,9/29/21,4.31,10/3/21,9.15,10/6/21,12.03,10/10/21,2.44,10/13/21,30,9/4/21,9/7/21,14.53,20.16,5.63,9/24/21,9/28/21,15.056,18.110,3.0540,10/15/21,10/19/21,14.722,17.393,2.671,11/10/21,11/14/21,15.257,16.271,1.014
AP074,7/6/21,07:53,loud,loud,13,7,7/25/21,72,sunny,campus,city,9/2/21,0.1013,101.3,F,FALSE,7/25/21,8/19/21,,,8/19/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,6,5,31,outside,12.8,Paradise apple,,9/4/21,9/7/21,15.02,18.86,3.84,9/4/21,1.22,9/7/21,0.47,9/11/21,1.43,9/14/21,1.4,9/18/21,0.63,9/21/21,3.16,9/25/21,0.43,9/28/21,17.41,10/2/21,30,10/5/21,30,10/9/21,9.91,10/12/21,30,9/5/21,2.13,9/8/21,0.78,9/12/21,0.63,9/15/21,1.09,9/19/21,0.62,9/22/21,17.34,9/26/21,6.22,9/29/21,1.84,10/3/21,29.65,10/6/21,1.15,10/10/21,1.93,10/13/21,0.85,9/4/21,9/7/21,15.02,18.86,3.84,9/24/21,9/28/21,15.283,21.962,6.6790,10/15/21,10/19/21,14.967,20.366,5.399,11/10/21,11/14/21,15.292,16.883,1.591
AP075,7/6/21,07:57,quiet,loud,15,5,7/25/21,73,sunny,campus,city,9/2/21,0.0704,70.4,M,FALSE,8/31/21,,,,8/31/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,8,38,outside,27,Japanese meadowsweet,,9/4/21,9/7/21,14.9,17.49,2.59,9/4/21,1.38,9/7/21,1.39,9/11/21,0.43,9/14/21,0.4,9/18/21,0.69,9/21/21,2.03,9/25/21,5.34,9/28/21,13.43,10/2/21,27.78,10/5/21,17.19,10/9/21,6.06,10/12/21,30,9/5/21,0.81,9/8/21,0.74,9/12/21,0.69,9/15/21,4.5,9/19/21,0.69,9/22/21,0.68,9/26/21,1.62,9/29/21,30,10/3/21,2.18,10/6/21,16.81,10/10/21,3.09,10/13/21,12.22,9/4/21,9/7/21,14.90,17.49,2.59,9/24/21,9/28/21,15.353,20.125,4.7720,10/15/21,10/19/21,15.309,18.259,2.950,11/10/21,11/14/21,15.242,16.179,0.937
AP076,7/6/21,08:06,,,,,,73,sunny,campus,city,9/2/21,0.0682,68.2,M,TRUE,7/30/21,8/16/21,,,8/16/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,2,4,37,outside,26.1,Japanese meadowsweet,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP077,7/6/21,08:09,silent,silent,29,4,7/25/21,74,sunny,campus,city,9/2/21,0.0795,79.5,M,TRUE,7/20/21,8/9/21,8/31/21,,8/31/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,3,2,3,outside,12.8,Leaf litter,,9/5/21,9/8/21,15.19,18.34,3.15,9/5/21,1.16,9/8/21,0.61,9/12/21,0.44,9/15/21,2.78,9/19/21,4.56,9/22/21,30,9/26/21,28.93,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,0.97,9/9/21,0.59,9/13/21,1.69,9/16/21,8.97,9/20/21,2.82,9/23/21,0.78,9/27/21,6.72,9/30/21,10.91,10/4/21,1.1,10/7/21,4.16,10/11/21,0.81,10/14/21,21.1,9/5/21,9/8/21,15.19,18.34,3.15,9/24/21,9/29/21,14.900,19.217,4.3170,10/15/21,10/20/21,14.640,18.414,3.774,11/10/21,11/14/21,15.170,15.340,0.170
AP078,7/6/21,08:13,silent,silent,30,4,7/25/21,74,sunny,campus,city,9/2/21,0.0828,82.8,M,TRUE,7/15/21,8/3/21,8/28/21,,8/28/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,8,11,62,outside,30.1,Japanese meadowsweet,,9/5/21,9/8/21,14.97,17.67,2.7,9/5/21,4.57,9/8/21,0.5,9/12/21,3.81,9/15/21,0.5,9/19/21,5.5,9/22/21,10.13,9/26/21,22.97,9/29/21,3.6,10/3/21,3.34,10/6/21,30,10/10/21,2.75,10/13/21,30,9/6/21,1.63,9/9/21,0.91,9/13/21,29.63,9/16/21,2.03,9/20/21,13.41,9/23/21,2.13,9/27/21,18.87,9/30/21,0.68,10/4/21,30,10/7/21,1,10/11/21,10.06,10/14/21,5.62,9/5/21,9/8/21,14.97,17.67,2.70,9/24/21,9/29/21,15.569,18.506,2.9370,10/15/21,10/20/21,14.850,20.543,5.693,11/10/21,11/14/21,15.368,16.914,1.546
AP079,7/6/21,08:19,silent,silent,28,8,7/25/21,75,sunny,campus,city,9/2/21,0.0826,82.6,M,TRUE,7/15/21,8/19/21,9/12/21,,9/12/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,6,84,95,outside,38.5,Common boxwood,,9/5/21,9/8/21,14.5,20.57,6.07,9/5/21,3.09,9/8/21,0.25,9/12/21,0.78,9/15/21,0.72,9/19/21,0.44,9/22/21,0.63,9/26/21,0.38,9/29/21,0.62,10/3/21,1.59,10/6/21,30,10/10/21,30,10/13/21,26.56,9/6/21,2.47,9/9/21,2.62,9/13/21,7.22,9/16/21,3.28,9/20/21,1.78,9/23/21,7,9/27/21,30,9/30/21,30,10/4/21,8.53,10/7/21,11.59,10/11/21,0.75,10/14/21,1.04,9/5/21,9/8/21,14.50,20.57,6.07,9/24/21,9/29/21,14.516,18.424,3.9080,10/15/21,10/20/21,14.699,19.490,4.791,11/10/21,11/14/21,15.412,19.105,3.693
AP080,7/6/21,08:22,quiet,quiet,26,1,7/25/21,75,sunny,campus,city,9/2/21,0.1009,100.9,M,TRUE,7/15/21,8/23/21,,,8/23/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,68,81,outside,44.9,Common boxwood,Missing one leg at collection,9/5/21,9/8/21,14.99,19.91,4.92,9/5/21,1.03,9/8/21,0.38,9/12/21,0.88,9/15/21,1.83,9/19/21,1.88,9/22/21,0.53,9/26/21,1.28,9/29/21,0.88,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,2,9/9/21,2.87,9/13/21,1.53,9/16/21,30,9/20/21,1.9,9/23/21,30,9/27/21,17.57,9/30/21,30,10/4/21,3.07,10/7/21,1,10/11/21,1.09,10/14/21,4.31,9/5/21,9/8/21,14.99,19.91,4.92,9/24/21,9/29/21,14.798,16.836,2.0380,10/15/21,10/20/21,14.818,17.801,2.983,11/10/21,11/14/21,15.159,16.680,1.521
AP081,7/6/21,08:31,silent,silent,30,3,7/25/21,76,sunny,campus,city,9/2/21,0.0701,70.1,M,TRUE,7/20/21,8/9/21,8/31/21,,8/31/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,26,88,93,outside,9.5,Common boxwood,,9/5/21,9/8/21,15.35,18.26,2.91,9/5/21,30,9/8/21,1.31,9/12/21,30,9/15/21,30,9/19/21,30,9/22/21,30,9/26/21,30,9/29/21,16.12,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,17.53,9/6/21,8.07,9/9/21,0.85,9/13/21,30,9/16/21,30,9/20/21,30,9/23/21,30,9/27/21,30,9/30/21,30,10/4/21,1.94,10/7/21,30,10/11/21,1.56,10/14/21,2.35,9/5/21,9/8/21,15.35,18.26,2.91,9/24/21,9/29/21,14.912,16.812,1.9000,10/15/21,10/20/21,15.119,18.112,2.993,11/10/21,11/14/21,15.586,16.042,0.456
AP082,7/6/21,08:34,loud,quiet,3,7,7/25/21,76,sunny,campus,city,9/2/21,0.1215,121.5,F,FALSE,7/23/21,8/23/21,,,8/23/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,2,65,79,outside,26.2,Common boxwood,,9/4/21,9/7/21,15.39,18.45,3.06,9/4/21,2.53,9/7/21,0.63,9/11/21,0.38,9/14/21,0.53,9/18/21,0.85,9/21/21,0.69,9/25/21,1.12,9/28/21,1.12,10/2/21,0.41,10/5/21,0.42,10/9/21,4.31,10/12/21,0.75,9/5/21,0.85,9/8/21,3.69,9/12/21,19.38,9/15/21,0.71,9/19/21,0.62,9/22/21,3.97,9/26/21,0.81,9/29/21,0.59,10/3/21,4.07,10/6/21,13.59,10/10/21,0.75,10/13/21,6.56,9/4/21,9/7/21,15.39,18.45,3.06,9/24/21,9/28/21,15.043,19.909,4.8660,10/15/21,10/19/21,14.995,22.028,7.033,11/10/21,11/14/21,15.607,16.559,0.952
AP083,7/6/21,08:40,silent,silent,28,6,7/25/21,76,sunny,campus,city,9/2/21,0.0763,76.3,M,TRUE,7/15/21,8/6/21,8/31/21,,8/31/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,19,69,87,outside,16.5,Common boxwood,Missing one leg at collection,9/5/21,9/8/21,14.95,16.34,1.39,9/5/21,2.5,9/8/21,0.38,9/12/21,18.31,9/15/21,14.56,9/19/21,30,9/22/21,30,9/26/21,30,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,0.78,9/9/21,1.47,9/13/21,2.66,9/16/21,29.59,9/20/21,0.93,9/23/21,11.72,9/27/21,5.16,9/30/21,0.59,10/4/21,0.78,10/7/21,0.72,10/11/21,1.13,10/14/21,1.38,9/5/21,9/8/21,14.95,16.34,1.39,9/24/21,9/29/21,14.976,16.975,1.9990,10/15/21,10/20/21,14.557,19.031,4.474,11/10/21,11/14/21,15.460,16.376,0.916
AP084,7/6/21,08:44,silent,silent,8,6,7/25/21,77,sunny,campus,city,9/2/21,0.0555,55.5,M,TRUE,7/20/21,8/12/21,9/1/21,,9/1/21,n,y,10/16/21,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,58,91,outside,9.1,Common boxwood,,9/4/21,9/7/21,14.94,18.31,3.37,9/4/21,7.47,9/7/21,0.8,9/11/21,1,9/14/21,16.5,9/18/21,7.41,9/21/21,3.69,9/25/21,30,9/28/21,30,10/2/21,30,10/5/21,30,10/9/21,30,10/12/21,30,9/5/21,4.25,9/8/21,0.75,9/12/21,4.65,9/15/21,7.94,9/19/21,22.88,9/22/21,13.81,9/26/21,16.18,9/29/21,10.78,10/3/21,4.25,10/6/21,6.41,10/10/21,5.44,10/13/21,30,9/4/21,9/7/21,14.94,18.31,3.37,9/24/21,9/28/21,15.139,21.038,5.8990,10/15/21,10/19/21,14.890,17.246,2.356,11/10/21,11/14/21,15.459,15.815,0.356
AP085,7/6/21,08:48,,,,,,77,sunny,campus,city,9/2/21,0.1077,107.7,F,FALSE,7/23/21,8/19/21,,,8/19/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,5,5,outside,23.7,Leaf litter,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP086,7/6/21,08:52,loud,quiet,11,2,7/25/21,77,sunny,campus,city,9/2/21,0.0695,69.5,M,TRUE,7/20/21,8/9/21,9/4/21,,9/4/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,3,4,outside,10.6,Leaf litter,,9/4/21,9/7/21,15.34,18.02,2.68,9/4/21,3.69,9/7/21,0.34,9/11/21,0.37,9/14/21,0.41,9/18/21,0.4,9/21/21,0.4,9/25/21,1.41,9/28/21,0.63,10/2/21,0.75,10/5/21,1,10/9/21,9.22,10/12/21,1.28,9/5/21,0.81,9/8/21,0.56,9/12/21,0.9,9/15/21,0.5,9/19/21,0.65,9/22/21,15.22,9/26/21,11.44,9/29/21,3.87,10/3/21,10.94,10/6/21,30,10/10/21,1.16,10/13/21,30,9/4/21,9/7/21,15.34,18.02,2.68,9/24/21,9/28/21,14.657,18.297,3.6400,10/15/21,10/19/21,15.140,21.552,6.412,11/10/21,11/14/21,14.989,16.090,1.101
AP087,7/6/21,08:55,quiet,loud,14,9,7/25/21,78,sunny,campus,city,9/2/21,0.0982,98.2,F,FALSE,7/20/21,8/19/21,,,8/19/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,5,9,10,outside,19.7,Leaf litter,,9/4/21,9/7/21,15.13,17.62,2.49,9/4/21,4.84,9/7/21,0.31,9/11/21,0.5,9/14/21,0.47,9/18/21,0.5,9/21/21,0.84,9/25/21,1.1,9/28/21,0.38,10/2/21,0.63,10/5/21,0.79,10/9/21,1.22,10/12/21,18.44,9/5/21,0.78,9/8/21,8.75,9/12/21,0.78,9/15/21,2.57,9/19/21,3.09,9/22/21,0.4,9/26/21,11.56,9/29/21,0.81,10/3/21,1.19,10/6/21,0.97,10/10/21,1.07,10/13/21,0.69,9/4/21,9/7/21,15.13,17.62,2.49,9/24/21,9/28/21,15.410,20.721,5.3110,10/15/21,10/19/21,14.570,20.383,5.813,11/10/21,11/14/21,15.273,15.935,0.662
AP088,7/6/21,08:58,loud,quiet,15,9,7/25/21,78,sunny,campus,city,9/2/21,0.0947,94.7,F,FALSE,7/23/21,8/23/21,,,8/23/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,1,26,113,outside,16.1,Leaf litter,,9/4/21,9/7/21,15.26,19.13,3.87,9/4/21,2.21,9/7/21,1.56,9/11/21,0.5,9/14/21,0.71,9/18/21,1.22,9/21/21,2.5,9/25/21,6.5,9/28/21,0.44,10/2/21,0.75,10/5/21,7.81,10/9/21,5.59,10/12/21,7.07,9/5/21,30,9/8/21,1.25,9/12/21,1.15,9/15/21,9.25,9/19/21,15.82,9/22/21,0.59,9/26/21,0.56,9/29/21,0.59,10/3/21,1.06,10/6/21,0.72,10/10/21,8.28,10/13/21,0.71,9/4/21,9/7/21,15.26,19.13,3.87,9/24/21,9/28/21,15.046,17.477,2.4310,10/15/21,10/19/21,14.799,18.296,3.497,11/10/21,11/14/21,15.327,16.312,0.985
AP089,7/6/21,09:07,,,,,,78,sunny,campus,city,9/2/21,0.0874,87.4,F,FALSE,7/15/21,8/12/21,9/2/21,,9/2/21,y,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,7,6,7,outside,10,Leaf litter,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP090,7/6/21,09:15,silent,silent,28,5,7/25/21,79,sunny,campus,city,9/2/21,0.0592,59.2,M,TRUE,7/15/21,8/9/21,9/1/21,,9/1/21,n,n,,n,,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,2,97,109,outside,13.8,Common boxwood,,9/5/21,9/8/21,14.81,20.5,5.69,9/5/21,6.25,9/8/21,5.34,9/12/21,30,9/15/21,0.79,9/19/21,30,9/22/21,30,9/26/21,30,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,30,9/9/21,19.71,9/13/21,1.66,9/16/21,0.66,9/20/21,26.69,9/23/21,0.97,9/27/21,1,9/30/21,30,10/4/21,30,10/7/21,30,10/11/21,6.84,10/14/21,30,9/5/21,9/8/21,14.81,20.50,5.69,9/24/21,9/29/21,15.336,16.978,1.6420,10/15/21,10/20/21,14.809,17.397,2.588,11/10/21,11/14/21,15.235,15.771,0.536
AP091,7/6/21,09:26,silent,silent,28,1,7/25/21,80,sunny,campus,city,9/2/21,0.0891,89.1,F,FALSE,7/20/21,8/12/21,,,8/12/21,n,n,,n,10/20/21,,40.819213,-96.704105,TRUE,TRUE,TRUE,TRUE,7,4,113,outside,7,Common boxwood,,9/5/21,9/8/21,15.18,17.38,2.2,9/5/21,30,9/8/21,0.37,9/12/21,0.5,9/15/21,0.59,9/19/21,16.06,9/22/21,0.47,9/26/21,30,9/29/21,24.84,10/3/21,21.69,10/6/21,30,10/10/21,30,10/13/21,1.41,9/6/21,0.63,9/9/21,2.87,9/13/21,14.75,9/16/21,0.75,9/20/21,11.56,9/23/21,7.38,9/27/21,4.83,9/30/21,0.63,10/4/21,4.66,10/7/21,0.75,10/11/21,1.28,10/14/21,3.75,9/5/21,9/8/21,15.18,17.38,2.20,9/24/21,9/29/21,15.262,20.528,5.2660,10/15/21,10/20/21,14.662,19.545,4.883,11/10/21,11/14/21,14.824,14.979,0.155
AP092,7/6/21,09:37,silent,silent,30,6,7/25/21,81,sunny,campus,city,9/2/21,,,M,TRUE,8/12/21,9/6/21,,,9/6/21,n,y,9/9/21,n,,,40.819067,-96.704996,TRUE,TRUE,TRUE,TRUE,1,2,2,outside,43.6,"Rocks, cement",,9/5/21,9/8/21,14.69,19.76,5.07,9/5/21,30,9/8/21,30,9/12/21,,9/15/21,,9/19/21,,9/22/21,,9/26/21,,9/29/21,,10/3/21,,10/6/21,,10/10/21,,10/13/21,,9/6/21,30,9/9/21,,9/13/21,,9/16/21,,9/20/21,,9/23/21,,9/27/21,,9/30/21,,10/4/21,,10/7/21,,10/11/21,,10/14/21,,9/5/21,9/8/21,14.69,19.76,5.07,9/24/21,,15.101,,-15.1010,,,,,0.000,11/10/21,11/14/21,15.683,16.836,1.153
AP093,7/8/21,08:18,loud,quiet,9,8,7/25/21,65,sunny,tonys,rural,9/2/21,0.1075,107.5,F,FALSE,7/23/21,9/1/21,,,9/1/21,y,n,,n,,,40.669583,-96.795315,TRUE,TRUE,TRUE,TRUE,no reaction,3,10,outside,35.3,White clover,,9/4/21,9/7/21,14.91,22.18,7.27,9/4/21,1.22,9/7/21,0.35,9/11/21,2.03,9/14/21,0.81,9/18/21,0.59,9/21/21,0.65,9/25/21,0.37,9/28/21,0.6,10/2/21,1.46,10/5/21,0.53,10/9/21,0.57,10/12/21,6.47,9/5/21,0.97,9/8/21,0.91,9/12/21,0.94,9/15/21,14.97,9/19/21,13.37,9/22/21,0.87,9/26/21,0.84,9/29/21,0.62,10/3/21,3.09,10/6/21,2.85,10/10/21,1.78,10/13/21,29.91,9/4/21,9/7/21,14.91,22.18,7.27,9/24/21,9/28/21,15.217,21.852,6.6350,10/15/21,10/19/21,14.875,22.173,7.298,11/10/21,11/14/21,14.852,15.957,1.105
AP094,7/8/21,08:21,silent,silent,12,1,7/25/21,66,sunny,tonys,rural,9/2/21,0.0949,94.9,M,TRUE,7/15/21,8/28/21,,,8/28/21,n,n,,n,,,40.669628,-96.795056,TRUE,TRUE,TRUE,TRUE,12,5,44,outside,54.2,Grass,,9/4/21,9/7/21,14.99,21.33,6.34,9/4/21,1.47,9/7/21,0.53,9/11/21,0.9,9/14/21,0.78,9/18/21,1.28,9/21/21,0.59,9/25/21,0.47,9/28/21,0.75,10/2/21,0.91,10/5/21,0.62,10/9/21,1,10/12/21,1.63,9/5/21,6.19,9/8/21,21.15,9/12/21,7.28,9/15/21,30,9/19/21,0.75,9/22/21,15.63,9/26/21,5.44,9/29/21,3.47,10/3/21,1.09,10/6/21,6.25,10/10/21,4.63,10/13/21,30,9/4/21,9/7/21,14.99,21.33,6.34,9/24/21,9/28/21,15.169,17.448,2.2790,10/15/21,10/19/21,14.652,16.237,1.585,11/10/21,11/14/21,15.144,16.347,1.203
AP095,7/8/21,08:58,silent,silent,13,2,7/25/21,69,sunny,tonys,rural,9/2/21,0.0631,63.1,M,TRUE,7/15/21,8/15/21,9/5/21,,9/5/21,n,n,,n,,,40.669866,-96.794284,TRUE,TRUE,TRUE,TRUE,9,3,14,outside,19.4,"Grass, dandelion",,9/4/21,9/7/21,14.78,18.93,4.15,9/4/21,30,9/7/21,0.71,9/11/21,0.43,9/14/21,0.53,9/18/21,1.97,9/21/21,11.82,9/25/21,7.12,9/28/21,0.65,10/2/21,30,10/5/21,30,10/9/21,30,10/12/21,30,9/5/21,1.19,9/8/21,0.81,9/12/21,0.91,9/15/21,30,9/19/21,0.78,9/22/21,1.44,9/26/21,10.84,9/29/21,4.91,10/3/21,0.84,10/6/21,30,10/10/21,7.59,10/13/21,30,9/4/21,9/7/21,14.78,18.93,4.15,9/24/21,9/28/21,15.798,18.324,2.5260,10/15/21,10/19/21,14.714,17.841,3.127,11/10/21,11/14/21,15.120,16.119,0.999
AP096,7/8/21,09:10,quiet,quiet,16,8,7/25/21,70,sunny,tonys,rural,9/2/21,0.0695,69.5,M,TRUE,7/15/21,8/15/21,9/8/21,,9/8/21,n,n,,n,,,40.669729,-96.794057,TRUE,TRUE,TRUE,TRUE,3,6,7,outside,42.5,Ground ivy,,9/5/21,9/8/21,15.08,23.13,8.05,9/5/21,30,9/8/21,0.59,9/12/21,3.91,9/15/21,0.69,9/19/21,0.56,9/22/21,30,9/26/21,5.62,9/29/21,1.59,10/4/21,6.87,10/6/21,30,10/10/21,7.97,10/13/21,30,9/6/21,0.5,9/9/21,30,9/13/21,0.68,9/16/21,1.28,9/20/21,16.72,9/23/21,0.69,9/27/21,30,9/30/21,4.25,10/3/21,0.66,10/7/21,2.34,10/11/21,3.34,10/14/21,30,9/5/21,9/8/21,15.08,23.13,8.05,9/24/21,9/29/21,14.948,17.110,2.1620,10/15/21,10/20/21,14.899,15.932,1.033,11/10/21,11/14/21,15.382,16.392,1.010
AP097,7/8/21,09:14,silent,silent,28,3,7/25/21,70,sunny,tonys,rural,9/2/21,0.0628,62.8,M,TRUE,8/12/21,9/2/21,,,9/2/21,n,n,,n,,,40.669729,-96.794057,TRUE,TRUE,TRUE,TRUE,1,6,33,outside,42.2,Grass,,9/5/21,9/8/21,14.86,22.09,7.23,9/5/21,0.47,9/8/21,0.47,9/12/21,0.87,9/15/21,7.93,9/19/21,9.87,9/22/21,30,9/26/21,30,9/29/21,10.91,10/3/21,3.69,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,1,9/9/21,1,9/13/21,6.87,9/16/21,2.72,9/20/21,19.84,9/23/21,30,9/27/21,6.56,9/30/21,1.78,10/4/21,4.03,10/7/21,30,10/11/21,5.22,10/14/21,30,9/5/21,9/8/21,14.86,22.09,7.23,9/24/21,9/29/21,15.314,18.009,2.6950,10/15/21,10/20/21,14.780,15.790,1.010,11/10/21,11/14/21,15.198,15.258,0.060
AP098,7/8/21,09:17,silent,silent,29,6,7/25/21,70,sunny,tonys,rural,9/2/21,0.0968,96.8,F,FALSE,8/28/21,,,,8/28/21,n,n,,n,,,40.669729,-96.794057,TRUE,TRUE,TRUE,TRUE,3,10,56,outside,49.5,Grass,,9/5/21,9/8/21,15.08,19.21,4.13,9/5/21,1.38,9/8/21,1.78,9/12/21,0.46,9/15/21,0.4,9/19/21,0.56,9/22/21,0.53,9/26/21,0.54,9/29/21,0.5,10/3/21,0.78,10/6/21,5.79,10/10/21,9.97,10/13/21,17.59,9/6/21,1.62,9/9/21,1.25,9/13/21,0.78,9/16/21,0.65,9/20/21,0.85,9/23/21,0.65,9/27/21,0.75,9/30/21,0.63,10/4/21,1,10/7/21,0.88,10/11/21,4.16,10/14/21,4.15,9/5/21,9/8/21,15.08,19.21,4.13,9/24/21,9/29/21,14.775,21.321,6.5460,10/15/21,10/20/21,14.720,21.410,6.690,11/10/21,11/14/21,15.126,16.155,1.029
